Reference source,Reference metadata,Location,Group/Formation,Lithology,Metamorphic grade,Age Range (Ga),Age (Ga),"Sample name, or # of samples",TOC(±s),d13C
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,205-1,0.14±0.05,-18.7
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,240-1,0.2±0.1,-29
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,242-1,0.3±0.1,-28.7
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,296-1,0.8±0.1,-32.8
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,297-1,0.3±0.1,-30
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,297-3,0.4±0.1,-33.6
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,298-1,1.2±0.2,-33.1
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,298-2,1.3±0.2,-33.8
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,299-1,1.1±0.2,-34.4
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,300-1,0.7±0.1,-31.1
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,302-1,0.7±0.1,-33.1
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,304-1,1.1±0.2,-32.4
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,306-1,0.6±0.1,-34.2
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,307-1,0.9±0.2,-33.5
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,310-1,0.2±0.1,-13
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,312-1,0.9±0.2,-14.9
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,314-1,0.4±0.1,-30.4
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,314-2,0.8±0.1,-30.9
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,315-2,0.8±0.1,-31.1
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,315-3,0.8±0.1,-32.3
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,316-2,0.9±0.2,-34.4
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,317-1,1.1±0.2,-34.9
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,318-1,0.6±0.1,-31.2
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,320-1,1.8±0.3,-13.8
Hayes 1983,,South Africa ,"Griqualand Group, Transvaal Supergroup",BIF,,,2.2,295-1,0.2±0.1,-24.6
Hayes 1983,,"siltstone, sandstone,  magnetic shaleestern Austrailia",Hamersley Group,carbonate,,,2.5,370-1,0.2±0.1,-29.1
Hayes 1983,,Australia,Hamersley Group,chert,,,2.5,362-1,0.09±0.05,-17.3
Hayes 1983,,Australia,Hamersley Group,chert,,,2.5,363-1,0.08±0.05,-13.6
Hayes 1983,,Australia,Hamersley Group,chert,,,2.5,364-1,0.11±0.05,-16
Hayes 1983,,Australia,Hamersley Group,shale,,,2.5,047-1,32±6,-32.7
Hayes 1983,,Australia,Hamersley Group,shale,greenschist,,2.5,048-1,41±7,-32.1
Hayes 1983,,Australia,Hamersley Group,shale,greenschist,,2.5,048-2,37±7,-32.4
Hayes 1983,,Australia,Hamersley Group,shale,,,2.5,356-1,65±12,-38.5
Hayes 1983,,Australia,Hamersley Group,shale,sub greenschist,,2.5,357-1,2.3±0.4,-34.2
Hayes 1983,,Australia,Hamersley Group,shale,,,2.5,358-1,45±8,-35.5
Hayes 1983,,Australia,Hamersley Group,shale,,,2.5,359-1,18±3,-35.2
Hayes 1983,,Australia,Hamersley Group,shale,,,2.5,360-1,41±8,-29.8
Hayes 1983,,Australia,Hamersley Group,shale,,,2.5,480-1,5.2±0.9,-31.4
Hayes 1983,,Australia,Hamersley Group,shale,,,2.5,481-1,14±3,-31.1
Hayes 1983,,Australia,Hamersley Group,shale,,,2.5,482-1,15±3,-30.9
Hayes 1983,,Australia,Hamersley Group,shale,,,2.5,485-1,14±3,-33.2
Hayes 1983,,Australia,Hamersley Group,shale,,,2.5,486-1,2.0±0.1,-31.1
Hayes 1983,,Australia,Hamersley Group,shale,,,2.5,487-1,1.6±0.3,-30.8
Hayes 1983,,Australia,Hamersley Group,shale,,,2.5,488-1,18±3,-33.2
Hayes 1983,,Australia,Hamersley Group,shale,,,2.5,490-1,0.11±0.05,-21.1
Hayes 1983,,Australia,Hamersley Group,BIF,,,2.5,361-1,0.9±0.3,-18.6
Hayes 1983,,Australia,Hamersley Group,BIF,,,2.5,369-1,0.3±0.1,-37.8
Hayes 1983,,Australia,Hamersley Group,BIF,,,2.5,372-1,0.6±0.1,-39.8
Hayes 1983,,Australia,Hamersley Group,BIF,,,2.5,373-1 ,14±3,-40
Hayes 1983,,Australia,Hamersley Group,BIF,,,2.5,374-1,0.4±0.1,-34.2
Hayes 1983,,Australia,Hamersley Group,BIF,,,2.5,483-1,0.2±0.1,-22.3
Hayes 1983,,Australia,Hamersley Group,BIF,,,2.5,489-1,2.6±0.5,-21.4
Hayes 1983,,Australia,Hamersley Group,BIF,,,2.5,491-1,0.3±0.1,-18
