Formation,Age (mya),Age (gya),Lithology,d13C carb,# samples,Abbreviated reference,Full reference source
Mushandike,3600,3.600,lime,0.6,9,abell85,SV2002
Coonterunah ,3520,3.520,carb,-2.908518519,27,Harnmeijer thesis (2009),RefList
Komati,3475,3.475,lime,-3.2,1,veizer89b,SV2002
Komati,3475,3.475,lime,-1.3,5,schid75,SV2002
Komati (Kromberg Frm?),3475,3.475,lime,0.5,22,veizer89a+b,SV2002
McPhee,3475,3.475,ank,-3.97,4,veizer89a,SV2002
McPhee,3475,3.475,lime,-0.75,2,veizer89a,SV2002
McPhee,3475,3.475,dol,-3.8,1,veizer89a,SV2002
Towers,3475,3.475,chert,0.6,2,schid83,SV2002
Hooggenoeg,3450,3.450,lime,1.07,3,veizer89b,SV2002
Hooggenoeg,3450,3.450,ank,1.65,2,veizer89b,SV2002
Hooggenoeg,3450,3.450,carb,-0.2,1,schid83,SV2002
Onverwacht,3450,3.450,carb,-1.8,1,schid75,SV2002
Kromberg,3425,3.425,ank,0.17,3,veizer89b,SV2002
Kromberg,3425,3.425,lime,-0.6,3,veizer89b,SV2002
Kromberg,3425,3.425,lime,1.6,1,veizer89a,SV2002
Kromberg,3425,3.425,dol,-1.3,4,veizer89a,SV2002
Kromberg,3425,3.425,ank,0.9,11,veizer89a,SV2002
Kromberg,3425,3.425,carb,0.9,1,schid83,SV2002
Sebakwian,3300,3.300,lime,0.9,1,eichman75,SV2002
"Sebakwian, Gwanda & Que Que",3300,3.300,carb,-2.5,3,schid75,SV2002
Fig Tree,3250,3.250,ank,1.08,10,veizer89a,SV2002
Fig Tree,3250,3.250,chert,1.5,1,schid75,SV2002
Fig Tree,3250,3.250,dol,0.3,1,schid75,SV2002
Moodies,3200,3.200,dol,-3.4,1,schid75,SV2002
Sargur,3200,3.200,lime,-1.05,4,kumar83,SV2002
"Sargur, Chitradurga",3200,3.200,ank,-0.27,3,veizer89b,SV2002
"Sargur, Chitradurga",3200,3.200,lime,-0.21,5,veizer89b,SV2002
Insuzi,3100,3.100,lime,-1.94,7,veizer90,SV2002
Insuzi,3100,3.100,dol,2.14,16,veizer90,SV2002
Insuzi,3100,3.100,ank,0.6,3,veizer90,SV2002
Insuzi,3100,3.100,carb,1.4,9,schid83,SV2002
Ramagiri,3100,3.100,marble,-0.9,1,zachariah98,SV2002
Pongola,2900,2.900,shale,1.68,5,Eglington et al. (2003),RefList
Pongola,2900,2.900,shale,0.1,4,Perry and Tan (1972),RefList
"Uchi, Woman Lake",2850,2.850,lime,0.63,18,veizer89b,SV2002
"Javanahalli, Sira",2750,2.750,lime,-0.55,2,kumar83,SV2002
"Michipicoten, Algoma",2725,2.725,lime,2.55,21,veizer89b,SV2002
"Michipicoten, Algoma",2725,2.725,carb,0.59,15,veizer89b,SV2002
Steep Rock,2725,2.725,lime,2,2,veizer76,SV2002
"Steep Rock, Rainy River",2725,2.725,lime,1.94,42,veizer89b,SV2002
"Steep Rock, Rainy River",2725,2.725,dol,1.15,5,veizer89b,SV2002
"Steep Rock, Rainy River",2725,2.725,ank,2.9,1,veizer89b,SV2002
"Steep Rock, Rainy River",2725,2.725,carb,1.5,3,schid83,SV2002
"Steep Rock, Steep Rock",2725,2.725,lime,-3.15,2,veizer89a,SV2002
"Steep Rock, Steep Rock",2725,2.725,ank,-1.65,4,veizer89a,SV2002
Yellowknife,2725,2.725,lime,-3.52,6,veizer89a,SV2002
Yellowknife,2725,2.725,ank,-1.6,4,veizer89a,SV2002
Yellowknife,2725,2.725,carb,1.8,1,schid83,SV2002
Manjeri,2700,2.700,chert,-6.7,3,schid83,SV2002
Manjeri,2700,2.700,lime,-0.04,13,abell85a,SV2002
Pillingini,2700,2.700,chert,-1.6,1,veizer76,SV2002
"Abitibi, Larder Lake",2675,2.675,lime,-0.2,3,veizer89b,SV2002
"Abitibi, Larder Lake",2675,2.675,lime,-1.09,17,veizer89a,SV2002
"Abitibi, Larder Lake",2675,2.675,dol,-3.86,31,veizer89a,SV2002
"Abitibi, Larder Lake",2675,2.675,carb,-4.79,18,veizer89a,SV2002
Bothaville,2675,2.675,lime,-2.1,12,veizer90,SV2002
